Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
P45974	P45974	UBP5_HUMAN	USP5		1.37551e+07	1.33867e+07	1.42689e+07	1.25503e+07	1.41692e+07	1.36876e+07
P45976	P45976	FIP1_YEAST	FIP1		555671	315849	613654		253215	619853
P45978	P45978	SCD6_YEAST	SCD6		5.38316e+06	3.04181e+06	6.16191e+06	2.56048e+06	3.27423e+06	5.85906e+06
P45983	P45983;A0A3B3IRW7;C9J762	MK08_HUMAN	MAPK8		1.14383e+06	934038	1.1116e+06	971941	744152	901628
P45983;P45984	P45983;P45984;P53779;A0A1P0B7D2;A0A286YEN5;A0A286YEQ0;A0A286YEQ7;A0A286YES0;A0A286YES9;A0A286YEV3;A0A286YEW9;A0A286YEX7;A0A286YEY0;A0A286YF19;A0A286YF35;A0A286YF62;A0A286YF83;A0A286YF85;A0A286YF97;A0A286YFA6;A0A286YFB6;A0A286YFC0;A0A286YFD7;A0A286YFI3;A0A286YFJ4;A0A286YFJ6;A0A286YFM6;A0A286YFN2;D6RCB1;D6RJF9;D7R525;F8W9R5;J3KNK1;A0A1W2PRF2;A0A286YEV8;A0A286YF02;A0A286YFE2;A0A1W2PPZ3	MK08_HUMAN;MK09_HUMAN	MAPK8;MAPK9				407039		440629	593296
P45983;P45984;P53778;Q16539	O15264;P45983;P45984;P53778;P53779;Q15759;Q16539;A0A1P0B7D2;A0A286YEN5;A0A286YEQ0;A0A286YEQ7;A0A286YES0;A0A286YES9;A0A286YEV3;A0A286YEW9;A0A286YEX7;A0A286YEY0;A0A286YF19;A0A286YF35;A0A286YF62;A0A286YF83;A0A286YF85;A0A286YF97;A0A286YFA6;A0A286YFB6;A0A286YFC0;A0A286YFD7;A0A286YFI3;A0A286YFJ4;A0A286YFJ6;A0A286YFM6;A0A286YFN2;D6RCB1;D6RJF9;D7R525;F8W9R5;J3KNK1;A0A1W2PRF2;A0A286YEV8;A0A286YF02;A0A286YFE2;B4E0K5;B5MDL5;A0A1W2PPZ3;E7EX54;Q5R3E6	MK08_HUMAN;MK09_HUMAN;MK12_HUMAN;MK14_HUMAN	MAPK12;MAPK14;MAPK8;MAPK9				5.73086e+06	7.35556e+06	6.36998e+06	6.283e+06
P45984	P45984	MK09_HUMAN	MAPK9		1.30989e+06		1.5442e+06	1.26115e+06	1.56712e+06	579964
P45985	P45985;R4GN37	MP2K4_HUMAN	MAP2K4			649812			627193	523729
P46013	P46013	KI67_HUMAN	MKI67		927224	1.3236e+06	1.4885e+06	940892	1.50551e+06	1.37203e+06
P46019	P46019	KPB2_HUMAN	PHKA2		376837	525111			548570	431551
P46020	P46020;A6NIT2;A6NMN0	KPB1_HUMAN	PHKA1			494266				662050
P46060	P46060;H0Y4Q3	RAGP1_HUMAN	RANGAP1		1.05139e+07	1.11029e+07	1.13346e+07	9.93346e+06	1.15376e+07	1.15349e+07
P46063	P46063	RECQ1_HUMAN	RECQL		2.76493e+06	3.37747e+06	3.64365e+06	3.25266e+06	3.08142e+06	3.2685e+06
P46087	P46087	NOP2_HUMAN	NOP2		6.40443e+06	6.18374e+06	6.26091e+06	5.93494e+06	6.37112e+06	6.36352e+06
P46100	P46100;A0A6Q8PHA4	ATRX_HUMAN	ATRX		220616	130290	403749		345570	
P46108	P46108	CRK_HUMAN	CRK		2.4145e+06	2.44625e+06	2.57187e+06	2.63738e+06	2.54059e+06	2.40806e+06
P46109	P46109	CRKL_HUMAN	CRKL		3.27616e+07	3.43255e+07	3.6702e+07	2.69027e+07	3.4628e+07	3.51563e+07
P46151	P46151	MTHR1_YEAST	MET12		832563	428363	1.04149e+06	228264	557067	1.13011e+06
P46199	P46199	IF2M_HUMAN	MTIF2		2.59874e+06	2.76711e+06	2.33559e+06	2.30125e+06	2.51275e+06	2.728e+06
P46367	P46367	ALDH4_YEAST	ALD4		1.8836e+07	8.88557e+06	1.85651e+07	8.82192e+06	9.5182e+06	1.88969e+07
P46379	P46379;A0A024RCR6;A0A0G2JJM1;A0A0G2JK23;A0A0G2JL47;A0A7I2V508;A0A7P0MQS5;F6S6P2;X6REW1	BAG6_HUMAN	BAG6		1.20474e+07	1.21652e+07	1.24896e+07	8.97296e+06	1.24359e+07	1.23073e+07
P46439	P09488;P46439;Q03013;A0A3B3IRM5;B9ZVX7;H3BRM6;Q5T8R1	GSTM5_HUMAN	GSTM5							
P46459	P46459;I3L0N3;A0A994J5C5;A0A994J5K9;A0A994J5X2;A0A994J5X9;A0A994J5Y2;A0A994J7T3;A0A994J855;B4DH19;K7EQD6	NSF_HUMAN	NSF		6.00496e+06	6.03593e+06	6.02748e+06	5.45542e+06	5.88587e+06	6.05828e+06
P46459;Q969G3	P46459;Q969G3;I3L0N3;A0A2R8Y4T4;A0A2R8Y765;A0A2R8Y7I9;A0A2R8Y7U4;A0A2R8Y855;A0A2R8YES3;A0A2U3TZQ7;A0A994J5C5;A0A994J5K9;A0A994J5X2;A0A994J5X9;A0A994J5Y2;A0A994J7T3;B4DGM3;B4DH19;K7EQD6;J3QKS7	NSF_HUMAN;SMCE1_HUMAN	NSF;SMARCE1				2.59204e+06		1.95943e+06	1.02533e+06
P46654	P46654	RSSA2_YEAST	RPS0B		3.47826e+06	1.8269e+06	3.7308e+06	1.29092e+06	2.22232e+06	3.92586e+06
P46655	P46655	SYEC_YEAST	GUS1		2.47229e+07	1.19623e+07	2.39439e+07	1.23265e+07	1.19832e+07	2.55835e+07
P46669	P46669	RPA43_YEAST	RPA43		2.19632e+06	577187	2.21241e+06	1.07501e+06	693762	2.39693e+06
P46670	P46670	TBCC_YEAST	CIN2				299875			245727
P46672	P46672	ARC1_YEAST	ARC1		1.93501e+07	1.01829e+07	1.98811e+07	1.03737e+07	9.22883e+06	2.07349e+07
P46673	P46673	NUP85_YEAST	NUP85		1.13046e+06	383335	1.06601e+06	500643	350617	1.31262e+06
P46674	P46674	SAC3_YEAST	SAC3							
P46675	P46675	STU2_YEAST	STU2				197033			
P46676	P46676	SUM1_YEAST	SUM1		737909	255406	947229		442060	1.05158e+06
P46677	P46677	TAF1_YEAST	TAF1		111667					231259
P46678	P46678	TFC5_YEAST	BDP1				75533.9			
P46680	P46680	AIP1_YEAST	AIP1		1.35377e+07	6.58073e+06	1.35019e+07	5.6847e+06	6.50267e+06	1.46408e+07
P46681	P46681	DLD2_YEAST	DLD2		2.01084e+06	484416	1.55385e+06			1.41203e+06
P46682	P46682	AP3B_YEAST	APL6		842280	774784	962840		487793	1.01076e+06
P46683	P46683	YAR1_YEAST	YAR1		2.98865e+06	1.22382e+06	3.14571e+06	1.50803e+06	1.50898e+06	3.06666e+06
P46734	P46734;J3KRV4	MP2K3_HUMAN	MAP2K3				163248		322953	
P46736	P46736;X6RJS7;A0A0A0MS96	BRCC3_HUMAN	BRCC3		155894	285626	214010	217055	224880	292782
P46776	P46776;E9PJD9;E9PLL6;E9PLX7	RL27A_HUMAN	RPL27A		1.09272e+08	1.01433e+08	1.14034e+08	1.10098e+08	9.81519e+07	1.03223e+08
P46777	P46777;A0A2R8Y6J3	RL5_HUMAN	RPL5		4.51232e+07	4.67711e+07	5.2026e+07	3.51923e+07	4.62843e+07	4.72782e+07
P46778	P46778;G3V1B3;M0R181	RL21_HUMAN	RPL21		2.22506e+07	1.95455e+07	2.80287e+07	1.00889e+07	2.24185e+07	2.27149e+07
P46779	P46779;H0YKD8;H0YLP6;H0YMF4	RL28_HUMAN	RPL28		3.51398e+07	3.57438e+07	3.40454e+07	3.07972e+07	3.36531e+07	3.43796e+07
P46781	P46781	RS9_HUMAN	RPS9		5.20391e+07	4.7952e+07	4.59079e+07	5.55733e+07	4.71032e+07	4.70255e+07
P46782	P46782;M0R0F0;M0R0R2	RS5_HUMAN	RPS5		2.40174e+07	1.70746e+07	2.39629e+07	1.88616e+07	1.70932e+07	1.18819e+07
P46783	P46783;A0A1W2PQS6;Q9NQ39;A0A2R8Y6L3;A0A2R8Y7H1;A0A2R8YFH6;F6U211;S4R435	RS10_HUMAN	RPS10		6.31453e+07	6.50401e+07	6.20127e+07	6.02421e+07	6.1604e+07	6.3998e+07
P46784;Q08745	P46784;Q08745	RS10A_YEAST;RS10B_YEAST	RPS10A;RPS10B		5.35279e+07	2.52123e+07	5.02816e+07	2.56921e+07	2.47846e+07	5.48258e+07
P46821	P46821	MAP1B_HUMAN	MAP1B		2.75992e+06	3.14596e+06	3.15451e+06	2.37162e+06	3.17664e+06	3.12174e+06
P46821;P78559	P46821;P78559;E9PGC8	MAP1A_HUMAN;MAP1B_HUMAN	MAP1A;MAP1B		3.84945e+06	4.49284e+06	3.55081e+06	4.01808e+06	3.60177e+06	4.19402e+06
P46837	P46837	YHGF_ECOLI	yhgF							
P46852	P46852	YHHW_ECOLI	yhhW							
P46853	P46853	YHHX_ECOLI	yhhX					369808	345301	
P46883	P46883	AMO_ECOLI	tynA							
P46926	P46926;D6R9P4;D6RAY7;D6RFF8	GNPI1_HUMAN	GNPDA1		3.89101e+06	3.42416e+06	3.60091e+06	3.13669e+06	3.56522e+06	3.47278e+06
P46926;Q8TDQ7	P46926;Q8TDQ7;D6R9P4;D6RFF8;V9GYK3	GNPI1_HUMAN;GNPI2_HUMAN	GNPDA1;GNPDA2				1.93621e+06			
P46934	P46934;H0Y8X6	NEDD4_HUMAN	NEDD4		290943	486305	539885		531866	419072
P46934;Q96PU5	P46934;Q96PU5;A0A1B0GVY1;A0A6Q8PFI7;A0A6Q8PG51;A0A6Q8PGP5;A0A6Q8PHJ5;A0A7P0Z498;H0Y8X6;K7ERN1;A0A6Q8PG81;K7EKL1	NED4L_HUMAN;NEDD4_HUMAN	NEDD4;NEDD4L		1.03814e+06	602569	1.02394e+06	847628	868727	1.11993e+06
P46940	P46940;H0YLE8	IQGA1_HUMAN	IQGAP1		7.01904e+06	7.11969e+06	7.135e+06	6.78039e+06	7.13403e+06	7.02673e+06
P46940;Q13576	P46940;Q13576;A0A0J9YXZ5;F5H7S7;H0YLE8	IQGA1_HUMAN;IQGA2_HUMAN	IQGAP1;IQGAP2		1.37571e+06		2.38191e+06		2.29519e+06	2.22826e+06
P46940;Q13576;Q86VI3	P46940;Q13576;Q86VI3;A0A0J9YXZ5;E9PDT6;F2Z2E2;F5H7S7;H0YLE8	IQGA1_HUMAN;IQGA2_HUMAN;IQGA3_HUMAN	IQGAP1;IQGAP2;IQGAP3		1.35006e+06				1.23805e+06	2.28517e+06
P46940;Q86VI3	P46940;Q86VI3;A0A0J9YXZ5;F2Z2E2;H0YLE8	IQGA1_HUMAN;IQGA3_HUMAN	IQGAP1;IQGAP3		2.25183e+06	1.88372e+06	1.89131e+06	2.98528e+06	2.12539e+06	1.91567e+06
P46944	P46944	TRS85_YEAST	TRS85							
P46947	P46947	CWC26_YEAST	BUD13							
P46948	P46948	RRP41_YEAST	SKI6		1.27579e+06		1.41474e+06	228157	697143	1.52784e+06
P46949	P46949	FYV8_YEAST	FYV8		330886		396684			225937
P46951	P46951	YPP1_YEAST	YPP1		355962		360326		120637	196047
P46956	P46956	PHO86_YEAST	PHO86		7.5078e+06	2.99951e+06	6.53656e+06	3.2565e+06	3.40636e+06	7.65595e+06
P46957	P46957	DPOD2_YEAST	POL31		436773	230930	638773		226119	578423
P46958	P46958	IDS2_YEAST	IDS2						156185	125343
P46959	P46959	TRM61_YEAST	GCD14				420303			203170
P46962	P46962	CTK2_YEAST	CTK2							121587
P46963	P46963	CTK3_YEAST	CTK3		66825.5		132294			
P46964	P46964	OST2_YEAST	OST2		2.42072e+06	837167	2.24779e+06	772381	1.10662e+06	2.51045e+06
P46965	P46965	SPC1_YEAST	SPC1		4.95168e+06	2.02796e+06	4.04462e+06	2.44722e+06	2.40026e+06	4.34807e+06
P46970	P46970	NMD5_YEAST	NMD5		738099	223848	516176		87063.2	481410
P46971	P46971	PMT4_YEAST	PMT4		3.27992e+06	1.77179e+06	4.37721e+06		2.01523e+06	4.62438e+06
P46973	P46973	HIT1_YEAST	HIT1							
P46974	P46974	RSF2_YEAST	RSF2							
P46976	P46976;C9JQ42	GLYG_HUMAN	GYG1		3.44859e+06	3.83634e+06	3.88562e+06	3.09286e+06	3.92046e+06	4.09035e+06
P46977	P46977	STT3A_HUMAN	STT3A		1.16757e+06	775800	1.28391e+06	616826	1.44004e+06	1.00686e+06
P46982	P46982	MNN5_YEAST	MNN5		1.88855e+06	829870	1.97566e+06	874731	1.07328e+06	2.08446e+06
P46983	P46983	ATG36_YEAST	ATG36							
P46984	P46984	GON7_YEAST	GON7		656833	535441	953941	203135	437657	1.17787e+06
P46985	P46985	MNN11_YEAST	MNN11		1.57952e+06	831421	1.46648e+06	335569	721021	1.5763e+06
P46988	P46988	PFD1_YEAST	PFD1		1.57714e+06		1.78549e+06		2.38002e+06	1.63318e+06
P46989	P46989	ATG27_YEAST	ATG27		2.35659e+06	951097	2.48769e+06	2.48309e+06	1.18774e+06	2.72914e+06
P46990	P46990	RL17B_YEAST	RPL17B		2.12576e+07	9.71355e+06	2.10616e+07	1.00917e+07	1.01731e+07	2.09544e+07
P46992	P46992	YJR1_YEAST	YJL171C		4.09392e+06	2.06052e+06	4.34453e+06	1.47822e+06	2.31561e+06	4.50769e+06
P46995	P46995	SET2_YEAST	SET2				160534			234009
P47006	P47006	RPA34_YEAST	RPA34		1.42668e+06		1.51748e+06		476269	1.21471e+06
P47008	P47008	SFH5_YEAST	SFH5		3.87552e+06	1.55676e+06	3.78398e+06	1.69964e+06	1.85872e+06	4.66356e+06
P47011	P47011	GLG2_YEAST	GLG2							
P47014	P47014	YJN2_YEAST	YJL132W							
P47016	P47016	NIT2_YEAST	NIT2							
P47017	P47017	LSM1_YEAST	LSM1			977607	2.23193e+06		1.39974e+06	2.23406e+06
P47018	P47018	MTC1_YEAST	MTC1		6.4833e+06	3.11535e+06	6.34094e+06	3.11934e+06	3.4576e+06	6.86704e+06
P47019	P47019	ALB1_YEAST	ALB1							1.13419e+06
P47025	P47025	MDV1_YEAST	MDV1		540329	274331	526022		344613	745861
P47026	P47026	GWT1_YEAST	GWT1							
P47029	P47029	ALY2_YEAST	ALY2							
P47031	P47031	IML2_YEAST	IML2		1.51651e+06	836875	1.71686e+06	892352	914597	1.92645e+06
P47035	P47035	NET1_YEAST	NET1		2.0972e+06	1.082e+06	2.42112e+06	870737	1.2419e+06	2.5152e+06
P47037	P47037	SMC3_YEAST	SMC3		657840		1.0142e+06	1.80018e+06	427357	1.12269e+06
P47039	P47039	BNA3_YEAST	BNA3		4.63415e+06	1.93907e+06	4.42173e+06	1.35405e+06	1.83379e+06	4.95332e+06
P47042	P47042	IKS1_YEAST	IKS1				61216.6			146829
P47044	P47044	YJF5_YEAST	YJL055W		3.52481e+06	1.70892e+06	3.86362e+06	1.6754e+06	1.71371e+06	4.09604e+06
P47045	P47045	TIM54_YEAST	TIM54		442292		509038		298913	598303
P47047	P47047	MTR4_YEAST	MTR4		1.72452e+06	602257	1.83134e+06	762329	836415	1.70281e+06
P47048	P47048	YJE9_YEAST	YJL049W		242457		172227		60106.9	325168
P47049	P47049	UBX6_YEAST	UBX6							
P47050	P47050	CUL8_YEAST	RTT101				1.02561e+06		1.32982e+06	
P47054	P47054	NU192_YEAST	NUP192		632545		581580		160564	770116
P47057	P47057	SNX4_YEAST	SNX4		1.43852e+06	674501	1.5109e+06		590405	1.48772e+06
P47061	P47061	VPS53_YEAST	VPS53		722153		785233			901316
P47064	P47064	AP3S_YEAST	APS3				376427		167138	581770
P47068	P47068	BBC1_YEAST	BBC1		5.85081e+06	2.99129e+06	6.06383e+06	2.43665e+06	2.87016e+06	6.61022e+06
P47074	P47074	MAD3_YEAST	MAD3							
P47075	P47075	VTC4_YEAST	VTC4		1.06273e+07	5.37161e+06	1.08604e+07	4.74595e+06	5.26811e+06	1.16175e+07
P47076	P47076	RPC9_YEAST	RPC17		199033		172037		155365	571452
P47077	P47077	NOP9_YEAST	NOP9		430543		460981			478742
P47079	P47079	TCPQ_YEAST	CCT8		1.19466e+07	5.84845e+06	1.17388e+07	5.53733e+06	5.8583e+06	1.25595e+07
P47082	P47082	AVT1_YEAST	AVT1		997993	606345	1.11292e+06	502625	393638	1.21259e+06
P47083	P47083	MPP10_YEAST	MPP10		877153	431947	1.00759e+06		549215	1.04497e+06
P47084	P47084	MRX12_YEAST	MRX12							
P47085	P47085	MHO1_YEAST	MHO1		770893		685837			770150
P47086	P47086	YJY1_YEAST	YJR011C							
P47087	P47087	YJY2_YEAST	YJR012C				28449.6			
P47089	P47089	DENR_YEAST	TMA22		4.47392e+06	2.39769e+06	4.85435e+06	1.89452e+06	2.38538e+06	4.89506e+06
P47093	P47093	LSM8_YEAST	LSM8							370308
P47095	P47095	MTNB_YEAST	MDE1		316261		417233			479544
P47096	P47096	3HAO_YEAST	BNA1		3.14963e+06	1.61372e+06	3.17751e+06	1.2056e+06	1.68591e+06	3.65443e+06
P47102	P47102	GEA1_YEAST	GEA1			243482	515536			331320
P47103	P47103	CYP7_YEAST	CPR7							1.66389e+06
P47104	P47104	RAV1_YEAST	RAV1		522746		533779	342835	123423	457321
P47108	P47108	URB2_YEAST	URB2		162580		486613			538718
P47112	P47112	CDT1_YEAST	TAH11							1.09554e+06
P47116	P47116	PTK2_YEAST	PTK2		937112	405305	1.28531e+06		440996	1.14649e+06
P47117	P47117	ARP3_YEAST	ARP3		6.26223e+06	3.1209e+06	6.13509e+06	2.63638e+06	3.11328e+06	6.40311e+06
P47118	P47118	YAE1_YEAST	YAE1		326788	167433	101097			426742
P47119	P47119	ITPA_YEAST	HAM1		2.94702e+06	1.28552e+06	3.0807e+06	1.2291e+06	1.5465e+06	3.15724e+06
P47120	P47120	DOHH_YEAST	LIA1		5.0367e+06	2.45714e+06	4.99723e+06	2.16072e+06	2.48803e+06	5.57303e+06
P47122	P47122	GPN1_YEAST	NPA3		2.05209e+06	916366	1.99344e+06	890441	870655	2.11061e+06
P47123	P47123	MOG1_YEAST	MOG1		1.4321e+06		1.62189e+06		1.04737e+06	1.5508e+06
P47124	P47124	HOC1_YEAST	HOC1		1.27848e+06	859118	1.20139e+06			1.46287e+06
P47127	P47127	AIM24_YEAST	AIM24		537356		658264		348788	626339
P47128	P47128	EAF6_YEAST	EAF6							
P47129	P47129	ACF4_YEAST	ACF4			127213				388595
P47130	P47130	CSN12_YEAST	CSN12							129295
P47133	P47133	EMC2_YEAST	EMC2		1.78068e+06	906088	1.95762e+06	803105	649337	1.94498e+06
P47135	P47135	JSN1_YEAST	JSN1		1.11816e+06	514808	1.20275e+06		457503	1.21169e+06
P47136	P47136	BUD4_YEAST	BUD4							
P47137	P47137	YJ66_YEAST	YJR096W		1.6055e+06	537703	1.64452e+06	342764	669240	1.74102e+06
P47139	P47139	YJ68_YEAST	YJR098C							
P47140	P47140	AIM25_YEAST	AIM25							
P47141	P47141	RT26_YEAST	RSM26							
P47142	P47142	VPS25_YEAST	VPS25							
P47143	P47143	ADK_YEAST	ADO1		2.6074e+07	1.32493e+07	2.78834e+07	1.02181e+07	1.29158e+07	2.82191e+07
P47147	P47147	YMR1_YEAST	YMR1							
P47148	P47148	PXP2_YEAST	PXP2							
P47150	P47150	RT07_YEAST	RSM7				309957			327075
P47154	P47154	STE24_YEAST	STE24		5.54932e+06	2.57921e+06	5.44796e+06	2.97457e+06	2.56344e+06	5.56585e+06
P47158	P47158	CAF17_YEAST	IBA57							
P47160	P47160	ENT3_YEAST	ENT3		3.54541e+06	1.72306e+06	3.25237e+06	1.717e+06	1.76971e+06	3.52939e+06
P47163	P47163	EFM3_YEAST	EFM3							
P47164	P47164	MET7_YEAST	STR2		1.05616e+06					
P47165	P47165	XPT1_YEAST	XPT1		4.67164e+06	2.17968e+06	4.84498e+06	2.31371e+06	2.35228e+06	4.84242e+06
P47166	P47166	SGM1_YEAST	SGM1		1.88794e+06		941378		443776	514903
P47169	P47169	MET5_YEAST	MET5		217446		336940			394961
P47170	P47170	IML1_YEAST	IML1							831184
P47171	P47171	HIR3_YEAST	HIR3				340220			179706
P47173	P47173	YJ9J_YEAST	YJR142W		2.57267e+06	1.57145e+06	2.63416e+06	1.33353e+06	1.5232e+06	2.79788e+06
P47176	P47176	BCA2_YEAST	BAT2		1.54712e+07	8.16928e+06	1.53094e+07	8.49049e+06	8.37707e+06	1.75256e+07
P47190	P47190	PMT3_YEAST	PMT3				352776			
P47224	P47224	MSS4_HUMAN	RABIF		3.15816e+06	2.44999e+06	3.12907e+06	2.57685e+06	2.70771e+06	2.6985e+06
P47736	P47736;F2Z357;J3KPC5;X6R8W7	RPGP1_HUMAN	RAP1GAP		401145	697958	708969	378697	623697	488749
P47755	P47755;C9JUG7;F8W9N7	CAZA2_HUMAN	CAPZA2		8.60223e+06	8.9771e+06	9.39036e+06	8.54461e+06	9.55617e+06	8.77593e+06
P47755;P52907	P47755;P52907;C9JUG7;F8W9N7	CAZA1_HUMAN;CAZA2_HUMAN	CAPZA1;CAPZA2		4.90226e+07	4.7319e+07	4.73097e+07	4.52265e+07	4.7529e+07	4.61796e+07
P47756	P47756;A0A6I8PRV6;B1AK85;B1AK87;B1AK88	CAPZB_HUMAN	CAPZB		2.51407e+07	2.72218e+07	2.76463e+07	2.31865e+07	2.59827e+07	2.63023e+07
P47771	P47771	ALDH2_YEAST	ALD2		2.55585e+06	1.21347e+06	2.85821e+06	833694	1.1415e+06	3.71449e+06
P47771;P54114	P47771;P54114	ALDH2_YEAST;ALDH3_YEAST	ALD2;ALD3		7.7344e+06	3.92267e+06	7.55627e+06	3.27921e+06	3.69388e+06	8.64715e+06
P47818	P47818	CCC1_YEAST	CCC1		1.64829e+06	732024	2.04539e+06	666254	877052	2.31336e+06
P47897	P47897;A0A1B0GVU9;A0A0U1RQE9;A0A0U1RQM8;A0A0U1RQT0;A0A0U1RRI9;C9J165	SYQ_HUMAN	QARS1		1.62307e+07	1.57682e+07	1.56626e+07	1.48164e+07	1.57063e+07	1.63354e+07
P47912	P47912	LCF4_YEAST	FAA4		4.52508e+06	2.19285e+06	4.48263e+06	2.41443e+06	2.20421e+06	4.38728e+06
P47914	P47914;A0A3B3ITT5	RL29_HUMAN	RPL29		1.54281e+07	1.56288e+07	1.68427e+07	1.29476e+07	1.71437e+07	1.62959e+07
P47974	P47974	TISD_HUMAN	ZFP36L2		537192	1.02195e+06	513211	662403	871404	1.05946e+06
P47985	P47985;P0C7P4	UCRI_HUMAN	UQCRFS1		2.13175e+07	2.07076e+07	2.01281e+07	2.212e+07	1.95463e+07	2.06576e+07
P48015	P48015	GCST_YEAST	GCV1		6.42759e+06	3.09578e+06	6.21867e+06	3.59559e+06	3.03137e+06	6.6724e+06
P48016	P48016	ATH1_YEAST	ATH1							181212
P48047	P48047	ATPO_HUMAN	ATP5PO		1.58826e+07	1.59779e+07	1.59091e+07	1.53571e+07	1.5634e+07	1.59097e+07
P48059	P48059;A0A0J9YXC7;A0A8Q3WKI3;A0A8Q3WKJ2;A0A8Q3WKK6;A0A8Q3WKP0;A0A0M3HER1;A0A8Q3WLN4;A0A8Q3WLX8	LIMS1_HUMAN	LIMS1		5.94523e+06	5.00658e+06	5.74607e+06	5.76308e+06	5.74918e+06	5.14558e+06
P48147	P48147;A0A499FJL1	PPCE_HUMAN	PREP		6.15971e+06	6.03976e+06	6.08086e+06	5.22276e+06	6.44593e+06	6.19504e+06
P48163	P48163	MAOX_HUMAN	ME1		1.15017e+06	996205	1.08452e+06	903913	1.08797e+06	1.24633e+06
P48164	P48164	RS7B_YEAST	RPS7B		5.44866e+07	2.71183e+07	5.27785e+07	2.51763e+07	2.6719e+07	5.48221e+07
P48200	P48200;H0YNL8	IREB2_HUMAN	IREB2		1.84019e+06	1.83192e+06	1.53984e+06	1.95975e+06	1.71774e+06	1.65828e+06
P48231	P48231	TCB2_YEAST	TCB2		1.07941e+06	474565	1.25319e+06	504203	479523	1.20299e+06
P48231;Q12466	P48231;Q12466	TCB1_YEAST;TCB2_YEAST	TCB1;TCB2				248942			
P48232	P48232	SNAPN_YEAST	SNN1		842141					
P48234	P48234	NOL10_YEAST	ENP2		648416		746582		414330	524260
P48236	P48236	GPC1_YEAST	GPC1		329264		402660			435580
P48240	P48240	MTR3_YEAST	MTR3				297356			282642
P48353	P48353	HLJ1_YEAST	HLJ1							
P48360	P48360	ADRO_YEAST	ARH1							
P48361	P48361	ASK10_YEAST	ASK10		705141	291665	842975	227293	309028	813682
P48361;Q06108	P48361;Q06108	ASK10_YEAST;RGC1_YEAST	ASK10;RGC1		214839					469949
P48362	P48362	HGH1_YEAST	HGH1		894454	770526	1.69745e+06		633453	1.60701e+06
P48363	P48363	PFD3_YEAST	PAC10		3.46902e+06	1.53251e+06	3.37913e+06	2.02294e+06	1.83972e+06	3.20733e+06
P48365	P48365	GYP7_YEAST	GYP7		737037		536614		313220	435129
P48382	P48382;F8W689	RFX5_HUMAN	RFX5			201514	157207		182603	64292.5
P48412	P48412	UPF3_YEAST	UPF3							704630
P48415	P48415	SEC16_YEAST	SEC16		1.71063e+06	761306	1.88941e+06	620463	868491	2.06189e+06
P48426	P48426	PI42A_HUMAN	PIP4K2A		4.48887e+06	4.84324e+06	5.01262e+06	3.9904e+06	5.30014e+06	4.79812e+06
P48426;P78356	P48426;P78356;A0A087WT35	PI42A_HUMAN;PI42B_HUMAN	PIP4K2A;PIP4K2B		1.76486e+06	1.74267e+06	1.69058e+06	1.77846e+06	1.87463e+06	1.89933e+06
P48439	P48439	OST3_YEAST	OST3		3.37177e+06	1.38009e+06	3.04375e+06	1.21485e+06	1.44262e+06	3.95713e+06
P48444	P48444;B0YIW6	COPD_HUMAN	ARCN1		1.28135e+07	1.33188e+07	1.34701e+07	1.30016e+07	1.31581e+07	1.30365e+07
P48445	P48445	BPL1_YEAST	BPL1		752454		1.00741e+06		466240	1.02545e+06
P48449	P48449;C9J315	LSS_HUMAN	LSS		2.50908e+06	2.67201e+06	2.62168e+06	1.94546e+06	2.64863e+06	2.75853e+06
P48454	P48454;G3V111;H0YB02	PP2BC_HUMAN	PPP3CC		595697	640990	816668	554947	740306	642055
P48506	P48506;A0A0C4DGB2;A0A2R8YEL6;B4E2I4;E1CEI4	GSH1_HUMAN	GCLC		902281	598408	628857	816214	846990	926047
P48507	P48507	GSH0_HUMAN	GCLM		9.80252e+06	7.82841e+06	1.0352e+07	8.5698e+06	8.79039e+06	9.2531e+06
P48510	P48510	DSK2_YEAST	DSK2		8.46338e+06	2.27941e+06	9.51225e+06	3.10382e+06	3.66761e+06	8.9423e+06
P48524	P48524	BUL1_YEAST	BUL1		494993	262205	386834			598213
P48526	P48526	SYIM_YEAST	ISM1							252001
P48527	P48527	SYYM_YEAST	MSY1							
P48556	P48556;A0A8V8TPK1;A0A8V8TQ44;A0A8V8TR48;K7EJC1;K7EJR3;K7ERW6;R4GMR5	PSMD8_HUMAN	PSMD8		1.40268e+07	1.38651e+07	1.31501e+07	1.4714e+07	1.37424e+07	1.34409e+07
P48559	P48559	YPT11_YEAST	YPT11							
P48561	P48561	TRF5_YEAST	TRF5							
